,Date,Open,High,Low,Close,Volume,Market Cap
438,"May 22, 2018",13.52,13.53,12.25,12.27,"991,158,976","10,708,741,124"
439,"May 21, 2018",14.03,14.17,13.26,13.51,"1,063,000,000","11,768,818,522"
440,"May 20, 2018",13.17,14.19,13.05,14.01,"1,228,359,936","12,169,908,573"
441,"May 19, 2018",13.04,13.35,12.66,13.17,"1,018,750,016","11,414,216,736"
442,"May 18, 2018",12.37,13.18,12.08,13.00,"1,343,680,000","11,248,647,265"
443,"May 17, 2018",12.87,13.94,12.21,12.43,"1,644,329,984","10,725,624,899"
444,"May 16, 2018",12.93,13.17,12.06,12.77,"1,534,140,032","10,990,743,059"
445,"May 15, 2018",14.05,14.44,12.65,12.99,"1,371,869,952","11,154,630,084"
446,"May 14, 2018",14.93,15.02,13.39,14.02,"1,702,960,000","12,010,357,478"
447,"May 13, 2018",14.23,15.26,13.80,14.94,"1,589,949,952","12,764,867,154"
448,"May 12, 2018",14.98,15.24,12.59,14.25,"3,091,069,952","12,147,113,285"
449,"May 11, 2018",17.46,17.78,14.56,14.90,"2,919,820,032","12,670,119,949"
450,"May 10, 2018",17.97,18.73,17.52,17.54,"1,287,810,048","14,877,302,684"
451,"May 09, 2018",18.12,18.14,17.28,17.94,"1,199,539,968","15,176,493,322"
452,"May 08, 2018",17.98,18.88,17.90,18.14,"1,449,939,968","15,288,076,463"
453,"May 07, 2018",17.67,18.40,16.88,17.98,"2,000,850,048","15,120,502,020"
454,"May 06, 2018",17.74,17.90,16.86,17.47,"1,434,829,952","14,658,734,341"
455,"May 05, 2018",17.14,18.57,17.14,17.80,"1,614,729,984","14,894,964,551"
456,"May 04, 2018",17.71,18.06,16.47,17.15,"1,749,309,952","14,319,584,039"
457,"May 03, 2018",19.27,19.27,17.18,17.77,"2,266,540,032","14,799,000,063"
458,"May 02, 2018",18.93,19.51,18.42,19.21,"2,410,370,048","15,961,145,534"
459,"May 01, 2018",17.67,19.08,16.31,18.95,"3,330,129,920","15,711,518,382"
460,"Apr 30, 2018",21.64,21.64,16.86,17.58,"4,073,370,112","14,536,328,263"
461,"Apr 29, 2018",18.88,22.89,18.88,21.54,"4,870,720,000","17,769,451,250"
462,"Apr 28, 2018",16.69,19.51,16.69,18.87,"2,728,300,032","15,522,655,405"
463,"Apr 27, 2018",15.47,17.95,14.99,16.67,"2,486,409,984","13,682,818,488"
464,"Apr 26, 2018",14.43,15.49,14.00,15.49,"1,566,850,048","12,682,011,040"
465,"Apr 25, 2018",15.10,15.54,13.60,14.46,"3,005,040,128","11,811,154,567"
466,"Apr 24, 2018",11.73,16.00,11.73,15.31,"3,223,780,096","12,471,545,367"
467,"Apr 23, 2018",11.33,11.79,11.32,11.61,"662,115,968","9,433,568,181"
468,"Apr 22, 2018",11.07,11.83,10.81,11.35,"1,001,900,032","9,199,206,096"
469,"Apr 21, 2018",11.58,11.65,10.31,11.11,"1,142,259,968","8,986,678,438"
470,"Apr 20, 2018",9.51,11.57,9.51,11.45,"1,512,339,968","9,235,510,267"
471,"Apr 19, 2018",9.02,9.44,8.96,9.44,"554,115,968","7,595,983,274"
472,"Apr 18, 2018",8.49,9.15,8.49,9.03,"518,188,992","7,242,534,653"
473,"Apr 17, 2018",8.13,8.99,8.09,8.51,"798,768,000","6,810,616,224"
474,"Apr 16, 2018",8.39,8.39,7.84,8.10,"455,204,000","6,470,849,007"
475,"Apr 15, 2018",8.63,8.63,7.72,8.40,"861,262,976","6,677,275,381"
476,"Apr 14, 2018",8.75,8.93,8.08,8.60,"811,486,976","6,820,114,999"
477,"Apr 13, 2018",8.71,9.27,8.53,8.74,"936,742,976","6,915,691,372"
478,"Apr 12, 2018",8.50,9.05,8.00,8.70,"1,717,360,000","6,862,859,537"
479,"Apr 11, 2018",6.00,8.82,5.99,8.49,"1,818,530,048","6,678,192,028"
480,"Apr 10, 2018",5.88,6.07,5.80,6.00,"225,494,000","4,708,293,313"
481,"Apr 09, 2018",5.98,6.07,5.80,5.87,"226,564,992","4,596,840,720"
482,"Apr 08, 2018",5.90,6.01,5.85,5.97,"166,915,008","4,663,653,763"
483,"Apr 07, 2018",5.88,6.04,5.85,5.91,"220,028,000","4,594,063,752"
